 5.10     627866 1924 1514 1514     627798 -217788714 -433692416 14926     -348       29      628121 0.0276 0.0955  2.6074 0.0246 
 5.20     628166 1924 1514 1514     628196 -217788791 -433692408 14949     -347       23      628121 0.0276 0.0955  2.6074 0.0246 
 5.30     628166 1924 1514 1514     628196 -217788791 -433692408 14949     -347       23      628392 0.0272 0.0972  2.6102 0.0117 
 5.40     628433 1924 1514 1514     628402 -217788866 -433692401 14966     -345       17      628392 0.0272 0.0972  2.6102 0.0117 
 5.50     628433 1924 1514 1514     628402 -217788866 -433692401 14966     -345       17      628392 0.0272 0.0972  2.6102 0.0117 
 5.60     628705 1924 1514 1514     628402 -217788866 -433692401 14966     -345       17      628640 0.0279 0.0998  2.6135 0.0225 
 5.70     628705 1924 1514 1514     628796 -217788942 -433692394 14972     -344       12      628640 0.0279 0.0998  2.6135 0.0225 
 5.80     628705 1924 1514 1514     628796 -217788942 -433692394 14972     -344       12      628930 0.0252 0.1024  2.6112 -0.0250 
 5.90     628970 1924 1514 1514     628796 -217788942 -433692394 14972     -344       12      628930 0.0252 0.1024  2.6112 -0.0250 
 6.00     628970 1924 1514 1514     628796 -217788942 -433692394 14972     -344       12      628930 0.0252 0.1024  2.6112 -0.0250 
 6.10     628970 1924 1514 1514     628999 -217789016 -433692387 14938     -342       10      629198 0.0270 0.1032  2.6020 -0.0353 
 6.20     629244 1924 1514 1514     628999 -217789016 -433692387 14938     -342       10      629198 0.0270 0.1032  2.6020 -0.0353 
 6.30     629244 1924 1514 1514     629205 -217789096 -433692380 14866     -338        9      629198 0.0270 0.1032  2.6020 -0.0353 
 6.40     629513 1924 1514 1514     629205 -217789096 -433692380 14866     -338        9      629472 0.0278 0.1031  2.5904 -0.0343 
 6.50     629513 1924 1514 1514     629205 -217789096 -433692380 14866     -338        9      629472 0.0278 0.1031  2.5904 -0.0343 
 6.60     629513 1924 1514 1514     629606 -217789164 -433692372 14803     -335       11      629472 0.0278 0.1031  2.5904 -0.0343 
 6.70     629513 1924 1514 1514     629606 -217789164 -433692372 14803     -335       11      629721 0.0254 0.1015  2.5789 -0.0475 
 6.80     629762 1924 1514 1514     629791 -217789236 -433692362 14737     -331       13      629721 0.0254 0.1015  2.5789 -0.0475 
 6.90     630030 1924 1514 1514     629791 -217789236 -433692362 14737     -331       13      629989 0.0272 0.1037  2.5699 -0.0196 
 7.00     630030 1924 1514 1514     629995 -217789311 -433692350 14716     -328       16      629989 0.0272 0.1037  2.5699 -0.0196 
 7.10     630030 1924 1514 1514     629995 -217789311 -433692350 14716     -328       16      630265 0.0249 0.1020  2.5692 0.0113 
 7.20     630306 1924 1514 1514     629995 -217789311 -433692350 14716     -328       16      630265 0.0249 0.1020  2.5692 0.0113 
 7.30     630306 1924 1514 1514     630405 -217789385 -433692337 14743     -325       16      630265 0.0249 0.1020  2.5692 0.0113 
 7.40     630306 1924 1514 1514     630405 -217789385 -433692337 14743     -325       16      630265 0.0249 0.1020  2.5692 0.0113 
 7.50     630580 1924 1514 1514     630405 -217789385 -433692337 14743     -325       16      630540 0.0219 0.1036  2.5766 0.0316 
 7.60     630580 1924 1514 1514     630609 -217789452 -433692325 14797     -325       14      630785 0.0217 0.1041  2.5875 0.0557 
 7.70     630834 1924 1514 1514     630609 -217789452 -433692325 14797     -325       14      630785 0.0217 0.1041  2.5875 0.0557 
 7.80     630834 1924 1514 1514     630795 -217789524 -433692312 14879     -325       13      630785 0.0217 0.1041  2.5875 0.0557 
 7.90     630834 1924 1514 1514     630795 -217789524 -433692312 14879     -325       13      631063 0.0203 0.1025  2.6037 0.0872 
 8.00     631104 1924 1514 1514     631193 -217789597 -433692301 14979     -326        9      631063 0.0203 0.1025  2.6037 0.0872 
 8.10     631104 1924 1514 1514     631193 -217789597 -433692301 14979     -326        9      631063 0.0203 0.1025  2.6037 0.0872 
 8.20     631104 1924 1514 1514     631193 -217789597 -433692301 14979     -326        9      631329 0.0191 0.1012  2.6220 0.0765 
 8.30     631390 1924 1514 1514     631420 -217789673 -433692290 15094     -328        4      631329 0.0191 0.1012  2.6220 0.0765 
 8.40     631390 1924 1514 1514     631420 -217789673 -433692290 15094     -328        4      631329 0.0191 0.1012  2.6220 0.0765 
 8.50     631679 1924 1514 1514     631420 -217789673 -433692290 15094     -328        4      631610 0.0190 0.1015  2.6433 0.0773 
 8.60     631679 1924 1514 1514     631420 -217789673 -433692290 15094     -328        4      631610 0.0190 0.1015  2.6433 0.0773 
 8.70     631679 1924 1514 1514     631420 -217789673 -433692290 15094     -328        4      631610 0.0190 0.1015  2.6433 0.0773 
 8.80     631986 1924 1514 1514     631605 -217789757 -433692280 15217     -330        0      631925 0.0177 0.1012  2.6618 0.0490 
 8.90     631986 1924 1514 1514     631605 -217789757 -433692280 15217     -330        0      631925 0.0177 0.1012  2.6618 0.0490 
 9.00     631986 1924 1514 1514     631997 -217789836 -433692271 15291     -331       -4      631925 0.0177 0.1012  2.6618 0.0490 
 9.10     632265 1924 1514 1514     631997 -217789836 -433692271 15291     -331       -4      632222 0.0181 0.0996  2.6726 0.0289 
 9.20     632265 1924 1514 1514     631997 -217789836 -433692271 15291     -331       -4      632222 0.0181 0.0996  2.6726 0.0289 
 9.30     632265 1924 1514 1514     632204 -217789912 -433692265 15320     -330       -6      632526 0.0189 0.1006  2.6732 -0.0087 
 9.40     632586 1924 1514 1514     632204 -217789912 -433692265 15320     -330       -6      632526 0.0189 0.1006  2.6732 -0.0087 
 9.50     632586 1924 1514 1514     632598 -217789995 -433692258 15302     -329       -6      632526 0.0189 0.1006  2.6732 -0.0087 
 9.60     632816 1924 1514 1514     632598 -217789995 -433692258 15302     -329       -6      632792 0.0184 0.1005  2.6687 -0.0213 
 9.70     632816 1924 1514 1514     632598 -217789995 -433692258 15302     -329       -6      632792 0.0184 0.1005  2.6687 -0.0213 
 9.80     632816 1924 1514 1514     632806 -217790065 -433692253 15278     -326       -5      632792 0.0184 0.1005  2.6687 -0.0213 
 9.90     633087 1924 1514 1514     632806 -217790065 -433692253 15278     -326       -5      633067 0.0173 0.1013  2.6639 -0.0240 
10.00     633087 1924 1514 1514     632993 -217790137 -433692246 15258     -323       -1      633067 0.0173 0.1013  2.6639 -0.0240 
10.10     633087 1924 1514 1514     632993 -217790137 -433692246 15258     -323       -1      633067 0.0173 0.1013  2.6639 -0.0240 
10.20     633358 1924 1514 1514     632993 -217790137 -433692246 15258     -323       -1      633337 0.0176 0.1004  2.6646 0.0256 
10.30     633358 1924 1514 1514     632993 -217790137 -433692246 15258     -323       -1      633337 0.0176 0.1004  2.6646 0.0256 
10.40     633624 1924 1514 1514     633408 -217790216 -433692238 15289     -322        0      633604 0.0172 0.0988  2.6739 0.0592 
10.50     633624 1924 1514 1514     633408 -217790216 -433692238 15289     -322        0      633604 0.0172 0.0988  2.6739 0.0592 
10.60     633624 1924 1514 1514     633595 -217790289 -433692231 15377     -321       -1      633604 0.0172 0.0988  2.6739 0.0592 
10.70     633624 1924 1514 1514     633595 -217790289 -433692231 15377     -321       -1      633604 0.0172 0.0988  2.6739 0.0592 
10.80     633895 1514 1514 1514     633984 -217790360 -433692226 15534     -297      -16      633874 0.0154 0.1024  2.6964 0.1034 
10.90     633895 1514 1514 1514     633984 -217790360 -433692226 15534     -297      -16      633874 0.0154 0.1024  2.6964 0.1034 
11.00     634158 1514 1514 1514     633984 -217790360 -433692226 15534     -297      -16      634158 0.0094 0.1153  2.7244 0.0777 
11.10     634158 1514 1514 1514     634207 -217790423 -433692226 15660     -267      -33      634158 0.0094 0.1153  2.7244 0.0777 
11.20     634158 1514 1514 1514     634207 -217790423 -433692226 15660     -267      -33      634158 0.0094 0.1153  2.7244 0.0777 
11.30     634422 1514 1514 1514     634207 -217790423 -433692226 15660     -267      -33      634402 0.0134 0.0912  2.7402 0.0520 
11.40     634422 1514 1514 1514     634410 -217790475 -433692228 15736     -241      -44      634402 0.0134 0.0912  2.7402 0.0520 
11.50     634422 1514 1514 1514     634410 -217790475 -433692228 15736     -241      -44      634402 0.0134 0.0912  2.7402 0.0520 
11.60     634669 1514 1514 1514     634410 -217790475 -433692228 15736     -241      -44      634648 0.0167 0.0643  2.7522 0.0484 
11.70     634669 1514 1514 1514     634799 -217790529 -433692233 15810     -213      -53      634648 0.0167 0.0643  2.7522 0.0484 
11.80     634956 1514 1514 1514     635005 -217790571 -433692237 15866     -191      -58      634935 0.0115 0.0742  2.7643 0.0257 
11.90     634956 1514 1514 1514     635005 -217790571 -433692237 15866     -191      -58      634935 0.0115 0.0742  2.7643 0.0257 
12.00     634956 1514 1514 1514     635005 -217790571 -433692237 15866     -191      -58      634935 0.0115 0.0742  2.7643 0.0257 
12.10     635200 1514 1514 1514     635005 -217790571 -433692237 15866     -191      -58      635180 0.0134 0.0738  2.7740 0.0208 
12.20     635200 1514 1514 1514     635005 -217790571 -433692237 15866     -191      -58      635180 0.0134 0.0738  2.7740 0.0208 
12.30     635200 1514 1514 1514     635209 -217790608 -433692240 15921     -169      -59      635449 0.0108 0.0554  2.7829 0.0152 
12.40     635494 1514 1514 1514     635394 -217790640 -433692242 15973     -150      -59      635449 0.0108 0.0554  2.7829 0.0152 
12.50     635494 1514 1514 1514     635394 -217790640 -433692242 15973     -150      -59      635449 0.0108 0.0554  2.7829 0.0152 
12.60     635750 1514 1514 1514     635394 -217790640 -433692242 15973     -150      -59      635750 0.0116 0.0531  2.7951 0.0178 
12.70     635750 1514 1514 1514     635802 -217790670 -433692244 16037     -134      -56      635750 0.0116 0.0531  2.7951 0.0178 
12.80     636040 1514 1514 1514     635802 -217790670 -433692244 16037     -134      -56      636040 0.0097 0.0368  2.8061 0.0197 
